-13.5,-1.5,-35,1
-13.5,-1.5,-20,1
-13.5,-1.5,-23,1
-13.5,-1.5,-33,1
-13.5,-1.5,-24,1
-13.5,-1.5,-35,1
-13.5,-1.5,-29,1
-12.5,-1.5,-22,1
-12.5,-1.5,-20,1
-12.5,-1.5,-33,1
-12.5,-1.5,-29,1
-12.5,-1.5,-23,1
-12.5,-1.5,-33,1
-12.5,-1.5,-31,1
-12.5,-1.5,-25,1
-6.5,-1.5,-23,1
-6.5,-1.5,-34,1
-6.5,-1.5,-25,1
-6.5,-1.5,-30,1
-6.5,-1.5,-34,1
-6.5,-1.5,-35,1
-6.5,-1.5,-29,1
-6.5,-1.5,-21,1
-5.5,-1.5,-29,1
-5.5,-1.5,-31,1
-5.5,-1.5,-26,1
-5.5,-1.5,-22,1
-5.5,-1.5,-28,1
-5.5,-1.5,-30,1
-5.5,-1.5,-33,1
-5.5,-1.5,-25,1
12.5,-1.5,-29,2
12.5,-1.5,-27,2
12.5,-1.5,-22,2
12.5,-1.5,-30,2
12.5,-1.5,-24,2
12.5,-1.5,-20,2
12.5,-1.5,-30,2
12.5,-1.5,-30,2
12.5,-1.5,-27,2
11.5,-1.5,-24,2
11.5,-1.5,-25,2
11.5,-1.5,-31,2
11.5,-1.5,-21,2
11.5,-1.5,-32,2
11.5,-1.5,-22,2
11.5,-1.5,-25,2
6,-1.5,-26,2
6,-1.5,-22,2
6,-1.5,-29,2
6,-1.5,-25,2
6,-1.5,-29,2
6,-1.5,-24,2
6,-1.5,-22,2
6,-1.5,-35,2
5,-1.5,-33,2
5,-1.5,-30,2
5,-1.5,-22,2
5,-1.5,-31,2
5,-1.5,-25,2
5,-1.5,-32,2
5,-1.5,-26,2
5,-1.5,-26,2
